Keywords,Tags,Volume,2025-08-15,2025-08-01,2025-07-26,2025-07-15,2025-07-01,2025-06-26,2025-06-15,2025-06-01,2025-05-26,2025-05-15,2025-05-01,2025-04-26,2025-04-15,2025-04-01,2025-03-26,2025-03-15,2025-03-01,2025-02-26,2025-02-15,2025-02-01,2025-01-26,2025-01-15,2025-01-01,2024-12-26,2024-12-15,2024-12-01,2024-11-26,2024-11-15,2024-11-08,2024-11-01,2024-10-26,2024-10-21,2024-08-01,2024-07-26,2024-07-15,2024-07-08,2024-07-01,2024-06-26,2024-06-15,2024-06-04,2024-06-01,2024-05-26,2024-05-23,2024-05-15,2024-05-01,2024-04-26,2024-04-15,2024-04-09,2024-04-01,2024-03-26,2024-03-15,2024-03-14,2024-03-07,2024-03-01,2024-02-01,2024-01-23,2024-01-16,2024-01-12,2024-01-11,2024-01-10,2024-01-02,2024-01-01,2023-12-01,2023-11-30,2023-11-15,2023-11-13,2023-11-10,2023-11-01,2023-10-01,2023-09-01,2023-08-14,2023-08-01,2023-07-27,2023-07-18,URL in SERP,Expected URL
pass through window,passthroughs,4400,50,55,48,64,58,40,56,57,55,53,5,5,4,5,4,5,6,7,4,5,5,5,5,5,5,7,6,5,5,4,4,4,5,4,4,6,6,4,4,n/a,6,5,n/a,9,7,5,6,7,7,7,16,n/a,n/a,14,15,n/a,n/a,n/a,n/a,n/a,14,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/pass-through-swing-door-convenience-windows.html,
pass through window cost,passthroughs,110,42,43,47,17,46,38,39,45,40,39,24,23,26,25,23,23,20,21,27,25,25,18,6,4,22,5,6,4,4,4,9,7,6,4,5,4,6,2,2,n/a,2,2,n/a,5,4,4,4,5,4,3,7,n/a,n/a,2,8,n/a,n/a,n/a,n/a,n/a,3,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/photogallery/pass-through-windows.php,
pass through window dimensions,passthroughs,10,8,6,6,4,4,8,7,9,8,9,10,8,16,5,5,4,29,21,13,11,13,11,15,7,12,12,13,10,10,6,12,11,4,4,4,18,6,5,4,n/a,8,9,n/a,9,8,9,8,9,10,10,16,n/a,n/a,10,15,n/a,n/a,n/a,n/a,n/a,12,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/pass-through-windows.php,
pass through window hospital,passthroughs,10,2,3,3,3,4,6,4,4,5,5,4,5,3,3,6,3,4,6,8,6,7,6,6,7,7,7,2,4,5,4,3,2,9,7,7,7,7,7,7,n/a,6,6,n/a,6,6,5,5,9,9,12,9,n/a,n/a,10,9,n/a,n/a,n/a,n/a,n/a,11,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/pass-through-windows.php,
pass through window medical,passthroughs,50,2,2,2,1,4,4,3,6,5,5,5,5,3,3,3,4,4,3,6,4,5,6,4,5,6,6,7,7,8,6,3,2,5,6,8,7,7,7,7,n/a,7,8,n/a,8,9,9,9,8,8,10,8,n/a,n/a,9,10,n/a,n/a,n/a,n/a,n/a,11,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/outpatient-clinic-equipment-supplies/pass-through-doors-windows.php,
pass through window shelf,passthroughs,30,3,2,2,3,2,1,1,3,3,2,2,2,2,3,3,3,2,3,4,4,4,4,5,4,4,3,4,5,5,5,5,5,2,2,2,3,2,4,3,n/a,4,4,n/a,2,3,2,2,2,3,6,3,n/a,n/a,3,6,n/a,n/a,n/a,n/a,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/pass-through-convenience-window-vertical-sliding-wall-mount-304-stainless-steel-frame-shelf-1702-87.html,
pass through windows,passthroughs,4400,12,15,16,4,53,26,13,22,59,55,30,14,24,38,37,17,21,51,20,20,26,19,22,18,8,9,20,9,9,7,7,6,5,4,5,5,5,6,4,n/a,5,7,n/a,6,7,6,8,7,7,16,18,n/a,n/a,15,15,n/a,n/a,n/a,n/a,n/a,15,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/operating-room-equipment-and-furnishings/pass-through-doors-windows.php,
pass throughs,passthroughs,9900,17,30,14,-,15,6,-,-,-,7,48,45,46,17,9,5,6,6,8,8,8,33,23,25,-,14,17,17,25,16,27,14,47,19,24,23,6,34,16,n/a,27,24,n/a,19,21,23,20,21,23,17,18,n/a,n/a,22,14,n/a,n/a,n/a,n/a,n/a,25,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/general-use-pass-through-chambers.html,
pass thru window clean room,passthroughs,10,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,5,5,4,4,5,5,n/a,5,4,n/a,4,4,3,4,3,3,3,3,n/a,n/a,3,2,n/a,n/a,n/a,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-pass-through-chambers.php,
pharmaceutical clean room design,cleanroom-design,30,-,-,-,-,-,-,-,-,-,-,-,-,-,63,68,74,42,81,48,62,47,46,36,27,31,38,40,29,31,29,27,32,60,70,88,80,36,95,90,n/a,-,42,n/a,84,77,88,86,82,54,49,84,n/a,n/a,23,-,n/a,n/a,n/a,n/a,89,77,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
pharmaceutical clean room door,doors,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,2,1,2,2,3,2,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-doors.php,
pharmaceutical clean room doors,doors,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,3,3,n/a,3,2,2,2,3,3,4,2,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-doors.php,
pharmaceutical clean room furniture,"low-volume-desktop, gowning-room-equipment",0,4,3,3,2,2,2,2,2,3,2,3,3,3,3,3,3,4,3,5,4,7,7,7,8,8,8,6,5,5,4,4,4,8,8,8,6,7,9,8,n/a,6,5,n/a,6,7,8,7,8,8,6,7,n/a,n/a,4,8,n/a,n/a,n/a,n/a,n/a,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-equipment-and-furnishings.php,
pharmaceutical clean room tables,"tables-and-workbenches, low-volume-desktop",0,3,3,3,4,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,4,2,5,4,5,6,6,6,6,6,6,6,5,4,6,5,6,6,6,6,n/a,4,4,n/a,4,4,4,3,3,4,3,5,n/a,n/a,2,3,n/a,n/a,n/a,n/a,n/a,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-work-stations-and-tables.php,
pharmaceutical clean rooms,cleanroom,140,38,79,47,-,-,-,-,-,-,69,-,-,-,65,-,84,-,73,94,91,95,64,79,85,-,92,95,11,8,8,8,6,24,13,10,13,13,14,14,n/a,12,38,n/a,22,16,16,8,13,12,35,24,n/a,n/a,47,19,n/a,n/a,n/a,17,n/a,n/a,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/usp-compounding-cleanrooms.php,
pharmaceutical cleanroom table,"tables-and-workbenches, low-volume-desktop",0,5,4,4,4,3,4,4,3,3,3,3,4,4,4,4,3,4,4,6,4,3,5,5,5,4,5,5,5,5,5,5,5,3,6,6,7,5,5,5,n/a,6,5,n/a,4,5,4,5,5,6,6,6,n/a,n/a,5,5,n/a,n/a,n/a,n/a,n/a,5,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-work-stations-and-tables.php,
pharma clean room design,cleanroom-design,30,-,-,-,-,-,-,-,-,-,-,-,59,50,45,-,-,-,46,54,44,48,55,45,36,33,40,41,35,30,36,34,27,83,-,-,-,34,-,-,n/a,-,36,n/a,49,45,-,61,56,51,46,-,n/a,n/a,89,-,n/a,n/a,n/a,n/a,n/a,n/a,85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
pharma isolator,"recently-added, gloveboxes",260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
pharma isolators,"recently-added, gloveboxes",260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
pharmaceutical cleanroom tables,"tables-and-workbenches, low-volume-desktop",0,3,3,4,4,4,4,4,3,4,3,3,3,4,3,3,3,3,4,3,4,4,5,5,5,5,5,5,5,6,5,6,5,3,6,6,7,6,4,6,n/a,5,6,n/a,6,6,4,5,6,6,6,5,n/a,n/a,6,6,n/a,n/a,n/a,n/a,n/a,4,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-work-stations-and-tables.php,
pharmaceutical isolator,"recently-added, gloveboxes",260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
pharmaceutical isolators,"recently-added, gloveboxes",260,62,60,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,-,-,100,90,-,-,-,-,-,96,-,-,-,n/a,-,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/blog/glove-box-isolators-cleanrooms-aseptic-sterile-hazardous-radiopharmaceuticals,
pharmacy clean room,cleanroom,210,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,1,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/usp-compounding-cleanrooms.php,
pharmacy pass through window,passthroughs,30,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,4,3,3,3,3,n/a,3,3,n/a,3,3,3,3,3,4,5,5,n/a,n/a,7,7,n/a,n/a,n/a,n/a,n/a,8,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/pass-through-windows.php,
pharmacy sink,hygiene-sinks,50,-,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,-,-,99,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,11,12,5,8,12,n/a,16,16,n/a,16,18,16,10,10,10,19,11,n/a,n/a,17,14,n/a,n/a,n/a,n/a,n/a,10,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
pharmacy wall mount sinks,"low-volume-desktop, hygiene-sinks",0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,21,2,2,2,2,2,2,3,2,1,1,1,1,2,2,2,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,5,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/biosafe-wall-mount-cleanroom-and-laboratory-sinks.html,
plastic cleanroom carts,"carts-cabinets-storage, low-volume-desktop",0,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,2,2,n/a,1,2,2,1,1,2,2,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/carts.php,
plastic desiccator,desiccator,30,15,6,14,5,6,5,5,8,9,17,13,15,15,15,12,9,9,9,13,12,11,12,13,11,14,14,12,28,18,29,27,27,9,8,11,11,12,12,21,n/a,37,36,n/a,19,18,19,12,11,41,12,11,n/a,n/a,11,11,n/a,n/a,n/a,n/a,n/a,10,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/portable-desiccators.php,
plastic desiccator cabinet,desiccator,10,1,2,2,1,1,1,2,4,3,4,3,3,4,3,4,4,5,5,5,5,5,5,5,5,5,3,3,4,5,3,6,6,3,3,3,3,4,4,4,n/a,4,4,n/a,4,4,4,4,4,4,4,4,n/a,n/a,4,1,n/a,n/a,n/a,n/a,n/a,6,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/portable-desiccators.php,
plastic desiccators,desiccator,30,10,5,6,4,6,6,6,9,42,28,36,30,12,29,37,10,13,13,9,31,33,32,28,27,28,32,31,32,34,33,35,35,44,41,25,24,39,43,37,n/a,43,40,n/a,44,40,20,47,45,45,40,43,n/a,n/a,44,44,n/a,n/a,n/a,n/a,n/a,n/a,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/valuline-desiccator-cabinets.php,
plastic glove box,gloveboxes,90,2,3,4,3,3,4,5,4,3,6,5,5,5,7,6,5,4,2,5,6,5,5,4,4,4,2,3,2,3,3,3,3,2,2,4,3,4,6,5,n/a,4,4,n/a,3,2,2,3,4,4,3,4,n/a,n/a,4,3,n/a,n/a,n/a,n/a,n/a,5,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/valuline-portable-plastic-laboratory-glove-box.php,
plastic glove box isolator,"recently-added, low-volume-desktop, gloveboxes",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/glove-boxes-isolators.php,
plastic vacuum desiccator,desiccator vacuum,10,3,3,3,3,4,3,4,5,4,6,8,8,8,7,7,8,6,5,8,8,7,7,8,4,4,5,5,10,12,26,31,37,9,7,10,12,12,10,12,n/a,12,15,n/a,49,10,9,11,11,11,13,11,n/a,n/a,9,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/vacuum-desiccators.php,
portable clean room vacuum cleaner,other,10,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,n/a,2,2,n/a,2,2,2,2,2,2,2,2,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/vacuum-cleaners.php,
portable cleanroom vacuum cleaner,other,10,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,n/a,2,2,n/a,2,2,2,2,2,2,2,2,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/vacuum-cleaners.php,
portable desiccator,desiccator,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/portable-desiccators.php,
portable fume hood,hoods-fume,320,46,52,24,40,42,27,47,37,35,26,30,17,20,14,22,15,20,26,23,18,22,18,47,47,43,47,50,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fume-and-exhaust-hoods.php,
portable fume hoods,hoods-fume,320,47,44,41,65,75,84,63,70,63,74,72,37,40,34,34,70,25,47,33,22,14,38,50,27,24,63,60,-,-,-,-,-,67,39,69,33,53,51,57,n/a,55,52,n/a,-,-,-,75,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/explosion-proof-hoods.php,
portable hepa fan filter unit,ffu-filters-blowers,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
portable hepa filter for hospitals,ffu-filters-blowers,20,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,3,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,n/a,1,1,n/a,1,2,2,2,1,2,2,2,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,5,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/whisperflow-portable-hepa-filtration-system-6601-66.html,
portable hepa filtration systems,ffu-filters-blowers,10,11,4,5,4,10,9,12,12,12,10,10,9,10,9,9,11,9,10,12,9,10,10,9,11,9,10,9,9,7,5,6,3,4,3,6,6,10,15,5,n/a,9,5,n/a,4,7,3,2,2,2,2,2,n/a,n/a,6,5,n/a,n/a,n/a,n/a,n/a,12,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/whisperflow-portable-hepa-filtration-system-6601-66.html,
portable laminar flow hood,hoods-lafw,70,1,2,1,2,2,2,1,3,3,2,3,3,3,3,5,6,5,5,4,5,5,6,6,6,11,5,5,3,4,7,6,4,4,4,6,5,5,4,5,n/a,4,6,n/a,1,7,7,7,5,9,5,8,n/a,n/a,6,5,n/a,n/a,n/a,n/a,n/a,4,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/portable-cleanbooth-laminar-flow-stations.php,
portable n2 generator,nitrogen-systems,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,2,1,3,1,3,1,n/a,n/a,1,2,n/a,n/a,2,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/portable-nitrogen-generator-2700-99.html,
portable nitrogen generator,nitrogen-systems,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/portable-nitrogen-generator-2700-99.html,
portable nitrogen generator price,nitrogen-systems,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,n/a,1,2,n/a,1,1,1,1,2,2,2,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/portable-nitrogen-generator-2700-99.html,
positive pressure clean room,cleanroom,50,21,41,22,49,54,37,72,46,78,78,53,53,56,42,49,34,27,34,26,26,27,42,26,27,48,35,35,32,33,34,32,33,58,49,52,55,49,49,46,n/a,48,50,n/a,38,31,32,30,30,31,33,33,n/a,n/a,32,32,n/a,n/a,n/a,30,n/a,32,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/blog/under-pressure-in-critical-environments,
positive pressure isolator,"recently-added, gloveboxes",10,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,90,-,-,91,85,n/a,62,94,85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
prefab clean room,cleanroom,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,2,2,2,1,n/a,n/a,1,1,n/a,n/a,n/a,1,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanrooms.php,
prefab clean rooms,cleanroom,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,2,2,2,1,n/a,n/a,1,1,n/a,n/a,n/a,1,n/a,2,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanrooms.php,
prefabricated clean room,cleanroom,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,2,n/a,n/a,n/a,2,n/a,2,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanrooms.php,
prefabricated clean rooms,cleanroom,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,3,3,n/a,n/a,n/a,2,n/a,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanrooms.php,
prefabricated modular clean rooms,cleanroom,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,3,3,4,2,3,2,2,1,1,1,1,2,1,3,2,2,3,n/a,2,2,n/a,2,2,1,3,3,3,3,3,n/a,n/a,2,2,n/a,n/a,n/a,2,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanrooms.php,
pressure control in clean rooms,cleanroom-controls,10,31,41,35,37,52,68,65,78,75,40,48,50,49,43,52,32,40,40,33,41,36,32,37,26,29,31,33,32,32,30,32,28,20,21,24,27,28,24,22,n/a,38,24,n/a,19,21,22,23,21,21,21,21,n/a,n/a,27,27,n/a,n/a,n/a,n/a,n/a,35,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/blog/under-pressure-in-critical-environments,
pvc wall panels for clean room,"cleanroom-walls-and-panels, low-volume-desktop",0,8,7,6,6,7,8,8,8,8,8,7,6,7,7,7,6,7,6,7,6,7,6,6,7,7,7,9,8,7,8,8,7,5,5,6,7,7,7,7,n/a,6,6,n/a,6,6,6,6,6,6,7,5,n/a,n/a,5,5,n/a,n/a,n/a,n/a,n/a,5,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-hardwall-valuline-static-dissipative-pvc-panels-6600-21-vl-0606-sd.html,
rack mounts for clean room,"carts-cabinets-storage, low-volume-desktop",0,6,6,6,4,4,5,4,4,5,4,4,4,5,5,6,4,4,7,7,6,8,7,7,7,11,12,12,11,10,10,9,8,17,15,12,17,12,14,14,n/a,16,17,n/a,15,16,16,12,14,15,14,12,n/a,n/a,11,12,n/a,n/a,n/a,n/a,n/a,10,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/cleanroom-garment-cabinets.php,
